id	ID
gesamtradstand	Gesamtradstand
leermasse	Leermasse
dienstmasse	Dienstmasse
reibungsmasse	Reibungsmasse
antrieb	Antrieb
lokbremse	Lokbremse
anmerkung	Anmerkung
zylinderanzahl	Zylinderanzahl
zylinderdurchmesser	Zylinderdurchmesser
kolbenhub	Kolbenhub
kesseldruck	Kesseldruck
anzahlheizrohre	Anzahl Heizrohre
rostfläche	Rostfläche
verdampfungsheizfläche	Verdampfungsheizfläche
indizierteleistung	Indizierte Leistung
brennstoff	Brennstoff
altdeutsch	Altdeutsch
lateinnom	Latein Nom
lateingen	Latein Gen
01Code	01-Code
01Bezeichnung	01-Bezeichnung
modus	Modus
rangunterdrückung	Rangunterdrückung
taxon6Wissname	Taxon6 Wiss Name
erdzeitaltervon	Erdzeitalter Von
miovon	Mio Von
miobis	Mio Bis
fundorte	Fundorte
subtaxaPlural	Subtaxa Plural
subtaxaRang	Subtaxa Rang
subtaxa	Subtaxa
urlname	Urlname
artikel	Artikel
spalten	Spalten
strukturformel	Strukturformel
suchfunktion	Suchfunktion
andereNamen	Andere Namen
summenformel	Summenformel
pubchem	Pub Chem
molareMasse	Molare Masse
schmelzpunkt	Schmelzpunkt
siedepunkt	Siedepunkt
dampfdruck	Dampfdruck
pks	P Ks
löslichkeit	Löslichkeit
brechungsindex	Brechungsindex
mak	MAK
ld	LD
standardbildungsenthalpie	Standardbildungsenthalpie
taxon3Linkname	Taxon3 Link Name
taxon3Name	Taxon3 Name
taxon2Name	Taxon2 Name
wissname	Wiss Name
dienstgradgruppe	Dienstgradgruppe
nato	Nato
dienstgradH/l	Dienstgrad H/L
dienstgradM	Dienstgrad M
abkürzung	Abkürzung
besoldung	Besoldung
emblem	Emblem
emblemBeschreibung	Emblem beschreibung
emblemGrösse	Emblem grösse
nssdcId	Nssdc id
trägerrakete	Trägerrakete
kommandoModul	Kommando modul
serviceModul	Service modul
mondlandeModul	Mondlande modul
rufzeichen	Rufzeichen
crewAnzahl	Crew anzahl
earthstart	Earthstart
moondown	Moondown
moonstart	Moonstart
earthdown	Earthdown
start	Start
startplatz	Startplatz
landung	Landung
dauer	Dauer
landeplatz	Landeplatz
landeplatzBreitengrad	Landeplatz breitengrad
landeplatzLängengrad	Landeplatz längengrad
landeplatzRegion	Landeplatz region
mondLandung	Mond landung
mondLandeplatz	Mond landeplatz
mondStart	Mond start
mondEvaLänge	Mond eva länge
mondAufenthalt	Mond aufenthalt
mondOrbits	Mond orbits
bergungsschiff	Bergungsschiff
fotoMannschaft	Foto mannschaft
fotoBeschreibung	Foto beschreibung
vorher	Vorher
nachher	Nachher
präsidentin	Präsidentin
mitglieder	Mitglieder
bundesstaat	Bundesstaat
county	County
siegel	Siegel
metropolregion	Metropolregion
landfläche	Landfläche
vorwahl	Vorwahl
fips	Fips
gnis	Gnis
website	Website
bildgröße	Bildgröße
tabelle	Tabelle
gliederung	Gliederung
titlebar	Titlebar
left	Left
right	Right
sprache	Sprache
sprecher	Sprecher
klassifikation	Klassifikation
ksprache	KSprache
gewinn	Gewinn
bildKarte	Bild-Karte
bildKarteGrösse	Bild-Karte-GrÖsse
provinzen	Provinzen
flächeRang	FlÄche-Rang
web	WEB
präsident	PrÄsident
inhalt	Inhalt
strukturhinweis	Strukturhinweis
atcCode	ATC-Code
drugbank	Drug Bank
vorkommen	Vorkommen
funktion	Funktion
bedarf	Bedarf
mangel	Mangel
überdosis	Überdosis
nameAmtssprache	Name-Amtssprache
nameDeutsch	Name-Deutsch
bild1Breite	Bild1-Breite
freiname	Freiname
wirkstoffgruppe	Wirkstoffgruppe
verschreibungspflicht	Verschreibungspflicht
nonProfitName	Non-Profit name
nonProfitLogo	Non-Profit logo
focus	Focus
keyPeople	Key people
foundedDate	Founded date
numMembers	Num members
location	Location
département	Département
région	Région
préfecture	Préfecture
sousPréfectures	Sous-Préfectures
densité	Densité
sup	Sup
arr	Arr
canton	Canton
comm	Comm
président	Président
blason	Blason
loc	Loc
screenshot	Screenshot
aktuelleversion	Aktuelle Version
aktuelleversionfreigabedatum	Aktuelle Version Freigabe Datum
betriebssystem	Betriebssystem
kategorie	Kategorie
lizenz	Lizenz
ethno	Ethno
code	Code
monat	Monat
02Code	02-Code
02Bezeichnung	02-Bezeichnung
06Code	06-Code
06Bezeichnung	06-Bezeichnung
07Code	07-Code
07Bezeichnung	07-Bezeichnung
mineralname	Mineralname
chemismus	Chemismus
mineralklasse	Mineralklasse
kurzformStrunz	Kurzform Strunz 
kurzformDana	Kurzform Dana
kristallsystem	Kristallsystem
kristallklasse	Kristallklasse
raumgruppe	Raumgruppe
raumgruppenNr	Raumgruppen-Nr
strichfarbe	Strichfarbe
glanz	Glanz
transparenz	Transparenz
bruch	Bruch
spaltbarkeit	Spaltbarkeit
kristallhabitus	Kristallhabitus
häufigeKristallflächen	Häufige Kristallflächen
doppelbrechung	Doppelbrechung
chemischesVerhalten	Chemisches Verhalten
ähnlicheMinerale	ähnliche Minerale
zweck	Zweck
originaltitel	Originaltitel
übersetzer	Übersetzer
paradigma	Paradigma
erscheinungsjahr	Erscheinungsjahr
entwickler	Entwickler
typisierung	Typisierung
implementierung	Implementierung
