quasiris_id	topic	nr_in_context	name
feelgreen55	Land	55	Deutschland
feelgreen57	Land	57	Portugal
feelgreen59	Land	59	Polen
feelgreen6	Fussball	6	Borussia Dortmund
feelgreen61	Land	61	Ungarn
feelgreen63	Land	63	US
feelgreen65	Politik	65	EU
feelgreen67	Politik	67	Behörde
feelgreen69	Wissenschaftler	69	Forscher
feelgreen7	Fussball	7	Dortmunder Borussia
feelgreen71	Krankheit	71	Leberschäden
feelgreen73	Fussball	73	Chelsea
feelgreen75	Stadt	75	Küsten
feelgreen77	Land	77	China
feelgreen79	Politik	79	Bund
feelgreen8	Fussball	8	Bundesliga
feelgreen81	Gegenstand	81	Glück
feelgreen83	Stadt	83	Horn
feelgreen85	Gegenstand	85	Plastikmüll
feelgreen87	Gegenstand	87	Kunststoff
feelgreen89	Gegenstand	89	Meer
feelgreen9	Fussball	9	Champions League
feelgreen91	Land	91	Nepal
feelgreen93	Land	93	Indien
feelgreen95	Schauspieler	95	Leonardo DiCaprio
feelgreen97	Organisation	97	WWF
feelgreen99	Gegenstand	99	Geld
feelgreenAuto0			Auto
feelgreenBundesland0			Bundesland
feelgreenFirma0			Firma
feelgreenFussball0			Fussball
feelgreenGegenstand0			Gegenstand
feelgreenKontinent0			Kontinent
feelgreenKrankheit0			Krankheit
feelgreenLand0			Land
feelgreenMusiker0			Musiker
feelgreenNews0			News
feelgreenOrganisation0			Organisation
feelgreenOrt0			Ort
feelgreenPerson0			Person
feelgreenPolitik0			Politik
feelgreenPolitiker0			Politiker
feelgreenProdukte0			Produkte
feelgreenRegion0			Region
feelgreenSchauspieler0			Schauspieler
feelgreenSportler0			Sportler
feelgreenStadt0			Stadt
feelgreenWirtschaft0			Wirtschaft
feelgreenWissenschaftler0			Wissenschaftler
fussballde1	Fussball	1	Borussia Mönchengladbach
fussballde10	Fussball	10	Borussia Dortmund
fussballde1001	Fussball	1001	Caiuby
fussballde1003	Fussball	1003	Moritz Hartmann
fussballde1005	Fussball	1005	SpVgg Greuther Fürth
fussballde1007	Firma	1007	SC Paderborn
fussballde1009	Krieg	1009	Intervention
fussballde101	Event	101	WM 2014
fussballde1011	Stadt	1011	Paderborn
fussballde1013	Stadt	1013	Drees
fussballde1015	Politik	1015	Verwaltung
fussballde1017	Gegenstand	1017	Orkantief
fussballde1019	Gegenstand	1019	Reise
fussballde1021	Gegenstand	1021	Kollegen
fussballde1023	Person	1023	Klaus Decker
fussballde1025	Stadt	1025	Pohl
fussballde1027	Fussball	1027	FV Knittlingen
fussballde1029	Fussball	1029	FSV Eisingen
fussballde103	Stadt	103	Paris
fussballde1031	Fussball	1031	SG Siemens Karlsruhe
fussballde1033	Fussball	1033	Pforzheim
fussballde1035	Firma	1035	Siemens
fussballde1037	Stadt	1037	Knittlingen
fussballde1039	Stadt	1039	Karlsruhe
fussballde1041	Stadt	1041	Weinzierl
fussballde1043	Fussball	1043	Xavi
fussballde1045	Firma	1045	Dynamo Dresden
fussballde1047	Firma	1047	Arminia Bielefeld
fussballde1049	Firma	1049	BOSS
fussballde105	Stadt	105	Zagreb
fussballde1051	TV	1051	MDR
fussballde1053	Stadt	1053	Bielefeld
fussballde1055	Stadt	1055	Dresden
fussballde1057	Gegenstand	1057	Kino
fussballde1059	Firma	1059	Köstritzer Schwarzbierbrauerei
fussballde1061	Stadt	1061	Posterstein
fussballde1063	Stadt	1063	Gera
fussballde1065	Stadt	1065	Barth
fussballde1067	Stadt	1067	Münchenbernsdorf
fussballde1069	Stadt	1069	Fockendorf
fussballde107	Stadt	107	Bukarest
fussballde1071	Produkte	1071	Glühwein
fussballde1073	Stadt	1073	Ichtershausen
fussballde1075	Stadt	1075	Eichhorn
fussballde1077	Fussball	1077	TuS Hamburg
fussballde1079	Fussball	1079	Holger Hieronymus
fussballde1081	Fussball	1081	St. Pauli
fussballde1083	Firma	1083	Volkswagen AG
fussballde1085	Auto	1085	Volkswagen
fussballde1087	Person	1087	Menschen
fussballde1089	Stadt	1089	Wolfsburg
fussballde109	Gegenstand	109	Garten
fussballde1091	Autor	1091	Autor
fussballde1093	Fussball	1093	Juventus Turin
fussballde1095	Fussball	1095	Juventus
fussballde1097	Fussball	1097	Blaise Matuidi
fussballde1099	Fussball	1099	Thierry Henry
fussballde11	Fussball	11	Dortmunder Borussia
fussballde1101	Event	1101	Advent
fussballde1103	Gegenstand	1103	USB
fussballde1105	Stadt	1105	Eichwalde
fussballde1107	Fussball	1107	Aleksandar Kolarov
fussballde1109	Fussball	1109	James Milner
fussballde111	Stadt	111	Stade
fussballde1111	Fussball	1111	David Silva
fussballde1113	Musiker	1113	Bosse
fussballde1115	Firma	1115	Allianz
fussballde1117	Wirtschaft	1117	Kollege
fussballde1119	TV	1119	Serie
fussballde1121	Gegenstand	1121	Segeln
fussballde1123	Gegenstand	1123	Roboter
fussballde1125	Stadt	1125	Bock
fussballde1127	News	1127	Unglück
fussballde1129	News	1129	Feuerwehr
fussballde113	Fussball	113	Jérôme Boateng
fussballde1131	Fussball	1131	Kevin De Bruyne
fussballde1133	Fussball	1133	VfL Wolfsburg
fussballde1135	Fussball	1135	Julian Draxler
fussballde1137	Fussball	1137	Draxler
fussballde1139	Fussball	1139	Jose Mourinho
fussballde1141	Fussball	1141	SV Elversberg
fussballde1143	Fussball	1143	BVB
fussballde1145	Gegenstand	1145	Sex
fussballde1147	Person	1147	Dietmar Hirsch
fussballde1149	Produkte	1149	Kondome
fussballde115	Fussball	115	Kevin-Prince Boateng
fussballde1151	Fussball	1151	Galatasaray Istanbul
fussballde1153	Fussball	1153	Galatasaray
fussballde1155	Fussball	1155	Wesley Sneijder
fussballde1157	Stadt	1157	Istanbul
fussballde1159	Fussball	1159	SpVgg Bayern Hof
fussballde1161	Fussball	1161	Sportfreunde
fussballde1163	Fussball	1163	SpVgg Selbitz
fussballde1165	Fussball	1165	FC Pipinsried
fussballde1167	Fussball	1167	FC Kickers
fussballde1169	Politiker	1169	Josef Janker
fussballde117	Fussball	117	Amr Zaki
fussballde1171	Politiker	1171	Thomas Ackermann
fussballde1173	Musiker	1173	Toto
fussballde1175	Stadt	1175	Dinkelsbühl
fussballde1177	Stadt	1177	Rain Lech
fussballde1179	Stadt	1179	Unterhaching
fussballde1181	Stadt	1181	Regensburg
fussballde1183	Stadt	1183	Würzburg
fussballde1185	Fussball	1185	Wolfgang Dremmler
fussballde1187	Event	1187	Weihnachtsfeier
fussballde1189	Politiker	1189	Reinhard Grindel
fussballde119	Fussball	119	Asamoah Gyan
fussballde1191	Gegenstand	1191	Trailer
fussballde1193	Gegenstand	1193	Geschenke
fussballde12	Fussball	12	Bundesliga
fussballde121	Fussball	121	Elfmeterschießen
fussballde123	Land	123	Ghana
fussballde125	Land	125	Ägypten
fussballde127	Land	127	Uruguay
fussballde129	Land	129	Südafrika
fussballde13	Fussball	13	Champions League
fussballde131	Regisseur	131	Prince
fussballde133	Stadt	133	Kairo
fussballde135	Gegenstand	135	Stars
fussballde137	Stadt	137	Johannesburg
fussballde139	News	139	Proteste
fussballde14	Fussball	14	Mario Gomez
fussballde141	News	141	Polizei
fussballde143	Wirtschaft	143	Wirtschaftskrise
fussballde145	Gegenstand	145	Familie
fussballde147	Ort	147	Atlantik
fussballde149	Fussball	149	Leonardo Bittencourt
fussballde15	Fussball	15	Manuel Neuer
fussballde151	Fussball	151	Horst Hrubesch
fussballde153	Fussball	153	Marvin Plattenhardt
fussballde155	Land	155	Montenegro
fussballde157	Land	157	Irland
fussballde159	TV	159	24
fussballde16	Fussball	16	Fortuna Düsseldorf
fussballde161	Fussball	161	Bettina Wiegmann
fussballde163	Wirtschaft	163	Arbeit
fussballde165	Gegenstand	165	Partnerschaft
fussballde167	Stadt	167	Rostock
fussballde169	Fussball	169	Sami Khedira
fussballde17	Fussball	17	FC Barcelona
fussballde171	Fussball	171	Fußballer des Jahres
fussballde173	Fussball	173	Jens Lehmann
fussballde175	Fussball	175	Celtic Glasgow
fussballde177	Fussball	177	Khedira
fussballde179	Fussball	179	Pirmin Schwegler
fussballde18	Fussball	18	SC Freiburg
fussballde181	Fussball	181	Bastian Schweinsteiger
fussballde183	Fussball	183	Philipp Lahm
fussballde185	Fussball	185	Armin Veh
fussballde187	Fussball	187	Ajax Amsterdam
fussballde189	Fussball	189	Schalke 04
fussballde19	Fussball	19	Arjen Robben
fussballde191	Fussball	191	Xabi Alonso
fussballde193	Fussball	193	Schweinsteiger
fussballde195	Fussball	195	Lahm
fussballde197	Fussball	197	Eintracht
fussballde199	Eishockey	199	Eintracht Frankfurt
fussballde2	Fussball	2	Borussia
fussballde20	Fussball	20	Xherdan Shaqiri
fussballde201	Fussball	201	Eintracht Frankfurt
fussballde203	Formel1	203	Alonso
fussballde205	Politik	205	Wahl
fussballde207	Firma	207	HD+
fussballde209	Musiker	209	Fussball
fussballde21	Fussball	21	Jupp Heynckes
fussballde211	Region	211	Welt
fussballde213	Land	213	Italien
fussballde215	Auto	215	Favorit
fussballde217	Politik	217	Öffentliche Ordnung
fussballde219	Stadt	219	Amsterdam
fussballde22	Fussball	22	Uli Hoeneß
fussballde221	Stadt	221	Schweizer
fussballde223	News	223	Verletzung
fussballde225	Fussball	225	Marco Reus
fussballde227	Fussball	227	Reus
fussballde229	Fussball	229	Toni Kroos
fussballde23	Fussball	23	Real Madrid
fussballde231	Fussball	231	Kroos
fussballde233	News	233	Pressekonferenz
fussballde235	Fussball	235	HSV
fussballde237	Fussball	237	Rafael van der Vaart
fussballde239	Fussball	239	Hamburger SV
fussballde24	Fussball	24	Jürgen Klopp
fussballde241	Fussball	241	Bert van Marwijk
fussballde243	Fussball	243	Marcell Jansen
fussballde245	Fussball	245	Hannover 96
fussballde247	Stadt	247	Hannover
fussballde249	Fussball	249	TV Askania Bernburg
fussballde25	Fussball	25	UEFA
fussballde251	Fussball	251	Bernburg
fussballde253	Fussball	253	Germania Wernigerode
fussballde255	Fussball	255	SV 08 Baalberge
fussballde257	Fussball	257	BSC Biendorf
fussballde259	Bundesland	259	Sachsen
fussballde26	Fussball	26	Lionel Messi
fussballde261	Stadt	261	Wernigerode
fussballde263	Stadt	263	Magdeburg
fussballde265	Fussball	265	SHFV
fussballde267	Fussball	267	Uwe Seeler
fussballde269	Politik	269	Politik
fussballde27	Fussball	27	Schalke
fussballde271	Politik	271	Bürokratie
fussballde273	Politik	273	EU
fussballde275	Land	275	DDR
fussballde277	Stadt	277	Schleswig
fussballde279	Stadt	279	Malente
fussballde28	Fussball	28	Neuer
fussballde281	Gegenstand	281	Geld
fussballde283	Gegenstand	283	Eltern
fussballde285	News	285	Demokratie
fussballde287	News	287	Gewalt
fussballde289	News	289	Rettungswagen
fussballde29	Fussball	29	FSV Mainz
fussballde291	Politik	291	Präsident
fussballde293	Fussball	293	SV Darmstadt
fussballde295	Fussball	295	1.FC Eschborn
fussballde297	Fussball	297	Kickers Offenbach
fussballde299	Fussball	299	Tobias Damm
fussballde3	Kontinent	3	Europa
fussballde30	Fussball	30	Thomas Müller
fussballde301	Fussball	301	Fabian Bäcker
fussballde303	Fussball	303	SF BG Marburg
fussballde305	Fussball	305	SF
fussballde307	Fussball	307	Marco Christ
fussballde309	Fussball	309	Milan Ivana
fussballde31	Fussball	31	Gomez
fussballde311	Fussball	311	Dominik Stroh-Engel
fussballde313	Fussball	313	FC Bayern Alzenau
fussballde315	Fussball	315	FSC Eschborn
fussballde317	Bundesland	317	Hessen
fussballde319	Stadt	319	Kassel
fussballde32	Fussball	32	Werder Bremen
fussballde321	Stadt	321	Darmstadt
fussballde323	Stadt	323	Wiesbaden
fussballde325	Stadt	325	Bäcker
fussballde327	Stadt	327	Marburg
fussballde329	Stadt	329	Alzenau
fussballde33	Fussball	33	Boateng
fussballde331	Fussball	331	Mike Wunderlich
fussballde333	Fussball	333	Ralf Rangnick
fussballde335	Fussball	335	Sebastian Deisler
fussballde337	Fussball	337	Martin Amedick
fussballde339	Fussball	339	Robert Enke
fussballde34	Fussball	34	Fortuna
fussballde341	Fussball	341	Markus Miller
fussballde343	Krankheit	343	Burn-out
fussballde345	Krankheit	345	Psychosomatik
fussballde347	Krankheit	347	Ruhr
fussballde349	Krankheit	349	Depressionen
fussballde35	Fussball	35	FCB
fussballde351	Organisation	351	Viktoria Köln
fussballde353	Universität	353	Ruhr-Universität Bochum
fussballde355	Wirtschaft	355	Wirtschaft
fussballde357	Stadt	357	Köln
fussballde359	Stadt	359	Frankfurt
fussballde36	Bundesland	36	Bayern
fussballde361	Stadt	361	Gelsenkirchen
fussballde363	Stadt	363	Möhnesee
fussballde365	Stadt	365	Bochum
fussballde367	Gegenstand	367	Glück
fussballde369	Fussball	369	ZFC Meuselwitz
fussballde37	Sportler	37	Daniel Van Buyten
fussballde371	Fussball	371	VfL
fussballde373	Firma	373	Carl Zeiss
fussballde375	Stadt	375	Erfurt
fussballde377	Stadt	377	Jena
fussballde379	Stadt	379	Hildburghausen
fussballde38	Sportler	38	Thomas Schaaf
fussballde381	Firma	381	Erdinger Weißbräu
fussballde383	Fussball	383	SV Tuningen
fussballde385	Film	385	Der Aufsteiger
fussballde387	Stadt	387	Tuningen
fussballde389	Fussball	389	ZSKA Moskau
fussballde39	Bundesland	39	Bremen
fussballde391	Land	391	Marokko
fussballde393	Firma	393	BVB
fussballde395	Stadt	395	Moskau
fussballde397	Fussball	397	Nadine Keßler
fussballde399	Fussball	399	Anja Mittag
fussballde4	Stadt	4	Mönchengladbach
fussballde40	Stadt	40	München
fussballde401	Fussball	401	Silvia Neid
fussballde403	Fussball	403	Alexandra Popp
fussballde405	Fussball	405	Linda Bresonik
fussballde407	Fussball	407	Fußball Frauen
fussballde409	Land	409	Slowakei
fussballde41	Stadt	41	Dortmund
fussballde411	Land	411	Kanada
fussballde413	Musiker	413	Alexandra
fussballde415	Stadt	415	Malmö
fussballde417	News	417	Flut
