A
beauftragt
bedacht
bedarf
bedauert
bedauerte
bedeckt
bedenken
bedeute
bedeuten
bedeutende
bedeutenden
bedeutendsten
bedeutet
bedeutete
bedienen
bedient
bedingt
bedroht
bedrohte
bedrohten
beeindruckt
beeinflussen
beeinflußt
beeinträchtigt
beenden
beendet
beendete
befand
befanden
befassen
befaßt
befinden
befindet
befindlichen
befragt
befragten
befreien
befreit
befunden
befördert
befürchten
befürchtet
befürwortet
begangen
begann
begannen
begeben
begegnen
begegnet
begeistert
beginnen
beginnenden
beginnt
begleiten
begleitet
begnügen
begonnen
begraben
begreifen
begrenzen
begrenzt
begrenzte
begrenzten
begriffen
begründen
begründet
begründete
begründeten
begrüßen
begrüßt
begrüßte
behalten
behandeln
behandelt
behaupten
behauptet
behauptete
beherrschen
beherrscht
behindert
behält
bei
beibehalten
beide
beiden
beider
beides
beigetragen
beim
beinahe
beinhaltet
beiseite
beispielsweise
beitragen
bekam
bekamen
bekannt
bekannte
bekannten
bekannter
bekanntesten
bekanntgegeben
bekanntlich
bekennen
bekennt
beklagen
beklagt
beklagte
bekomme
bekommen
bekommt
bekräftigt
bekräftigte
bekämpfen
bekämpft
belasten
belastet
belaufen
belegen
belegt
belegte
beliebig
beliebt
beliebten
belohnt
beläuft
bemerkbar
bemerkenswert
bemerkt
bemerkte
bemühen
bemüht
bemühte
benachbarten
benannt
benutzen
benutzt
benötigen
benötigt
benötigte
benötigten
beobachten
beobachtet
bequem
beraten
berechnet
berechtigt
bereit
bereiten
bereitet
bereitgestellt
bereits
berichten
berichtet
berichtete
berichteten
berufen
berufliche
beruflichen
beruft
beruhigen
beruhigt
beruht
berät
berücksichtigen
berücksichtigt
berühmt
berühmte
berühmten
berührt
besaß
bescheiden
bescheidenen
beschert
beschlagnahmt
beschleunigen
beschleunigt
beschließen
beschließt
beschlossen
beschlossene
beschlossenen
beschloß
beschreiben
beschreibt
beschrieb
beschrieben
beschränken
beschränkt
beschuldigt
beschwert
beschädigt
beschäftigen
beschäftigt
beschäftigte
beseitigen
beseitigt
besetzen
besetzt
besetzte
besetzten
besichtigen
besiegt
besitzen
besitzt
besondere
besonderen
besonderer
besonderes
besonders
besorgt
besser
bessere
besseren
besseres
bestand
bestanden
beste
bestehe
bestehen
bestehende
bestehenden
besteht
bestellen
bestellt
besten
bestenfalls
bestens
bester
bestimmen
bestimmt
bestimmte
bestimmten
bestimmter
bestraft
bestreiten
bestreitet
bestritt
bestritten
bestätigen
bestätigt
bestätigte
bestätigten
besuchen
besucht
besuchte
beteiligen
beteiligt
beteiligten
beteuert
betonen
betont
betonte
betonten
betrachten
betrachtet
betragen
betreffen
betreffenden
betreiben
betreibt
betreten
betreuen
betreut
betrieben
betrieblichen
betrifft
betroffen
betroffenen
betrug
beträchtlich
beträgt
beurteilen
beurteilt
bevor
bevorstehende
bevorstehenden
bevorzugt
bewaffneten
bewahren
bewahrt
bewegen
bewegt
bewegte
bewegten
beweisen
beweist
bewerben
bewerten
bewertet
bewies
bewiesen
bewirken
bewirkt
bewußt
bewährt
bewältigen
bewölkt
bezahlen
bezahlt
bezeichnen
bezeichnet
bezeichnete
bezeichneten
beziehen
bezieht
beziehungsweise
beziffert
bezifferte
bezog
bezogen
bezug
bezweifelt
bezüglich
biete
bieten
bietet
bilden
bildet
bildete
bildeten
billig
billige
billigen
billiger
bin
binden
binnen
birgt
bis
bisher
bisherige
bisherigen
bislang
bist
bisweilen
bitte
bitten
bitter
bittere
bittet
bißchen
blaue
blauen
bleibe
bleiben
bleibt
blicken
blickt
blieb
bliebe
blieben
blind
blockieren
blockiert
bloß
bloße
bloßen
blutigen
bot
boten
brach
brachte
brachten
brauche
brauchen
braucht
brauchte
brauchten
brav
brechen
breit
breite
breiten
breiter
bremsen
bricht
bringe
bringen
bringt
brutal
buchen
buchstäblich
bundesdeutschen
bundesweit
bundesweiten
bunt
bunte
bunten
bzw
böse
bösen
bürgerliche
bürgerlichen
ca
christliche
christlichen
com
d
d.
d.h.
da
dabei
dachte
dadurch
dafür
dagegen
daheim
daher
dahin
dahinter
damalige
damaligen
damals
damit
danach
daneben
dank
dankbar
dann
dar
daran
darauf
daraufhin
daraus
darf
dargestellt
darin
darstellen
darstellt
darum
darunter
darzustellen
darüber
das
dass
dasselbe
dauerhaft
dauern
dauert
dauerte
davon
davor
dazu
daß
de
de la
decken
definieren
definiert
definierten
dein
deine
dem
dementiert
demnach
demnächst
demonstrieren
demonstriert
demonstrierten
demselben
den
denen
denkbar
denke
denken
denkt
denn
dennoch
denselben
der
derart
derartige
derartigen
deren
derer
derjenigen
derlei
derselben
derweil
derzeit
derzeitige
derzeitigen
des
deshalb
dessen
desto
deswegen
detaillierte
deuten
deutet
deutete
deutlich
deutliche
deutlichen
deutlicher
deutsch
deutsche
deutschem
deutschen
deutscher
deutsches
deutschsprachigen
di
dich
dicht
dick
dicke
dicken
die
diejenigen
dienen
dienstags
dient
diente
dienten
dies
diese
dieselbe
dieselben
diesem
diesen
dieser
dieses
diesjährigen
diesmal
digitale
digitalen
dir
direkt
direkte
direkten
diskutieren
diskutiert
diverse
diversen
doch
dokumentieren
dokumentiert
dominieren
dominiert
donnerstags
doppelt
doppelte
doppelten
dort
dorthin
dortigen
dotierten
dpa
dpa-AFX
dran
drauf
draußen
drehen
dreht
drehte
drei
dreieinhalb
dreimal
dreißig
drin
dringend
dringt
dritte
dritten
dritter
drohe
drohen
drohende
drohenden
droht
drohte
drohten
drucken
drängen
drängt
drüben
drücken
drückt
drückte
du
dumm
dunkel
dunkle
dunklen
durch
durchaus
durchführen
durchgeführt
durchgesetzt
durchs
durchschnittlich
durchschnittliche
durchschnittlichen
durchsetzen
durchsucht
durchweg
durchzuführen
durchzusetzen
durfte
durften
dünn
dürfe
dürfen
dürfte
dürften
e
e.V.
eben
ebenfalls
ebenso
ebensowenig
echt
echte
echten
echter
effektiv
egal
eh
ehe
ehemalige
ehemaligen
ehemaligen DDR
ehemaligen Jugoslawien
ehemaliger
ehemals
eher
ehrlich
eigen
eigene
eigenem
eigenen
eigener
eigenes
eigens
eigenständige
eigentlich
eigentliche
eigentlichen
eignet
ein
einander
einbezogen
einbringen
eindeutig
eindeutige
eindrucksvoll
eine
eine Reihe von
eineinhalb
einem
einen
einer
einerseits
eines
eines Tages
einfach
einfache
einfachen
einfacher
einfallen
einführen
eingebaut
eingeben
eingebracht
eingebunden
eingeführt
eingegangen
eingegeben
eingehalten
eingehen
eingeladen
eingelegt
eingeleitet
eingenommen
eingeplant
eingereicht
eingerichtet
eingeräumt
eingeschaltet
eingeschlagen
eingeschlossen
eingeschränkt
eingesetzt
eingesetzten
eingespart
eingestellt
eingestuft
eingetragen
eingetreten
eingetroffen
eingeweiht
eingezogen
eingreifen
einheitliche
einheitlichen
einig
einige
einigen
einiger
einigermaßen
einiges
einigten
einmal
einmalig
einmalige
einmaligen
einnehmen
einrichten
eins
einsam
einschließlich
einseitig
einsetzen
einsparen
einst
einsteigen
einstellen
einstige
einstigen
einstimmig
eintreten
einverstanden
einzeln
einzelne
einzelnen
einzelner
einziehen
einzig
einzige
einzigen
einziger
einziges
einzuführen
einzurichten
einzusetzen
einzustellen
elf
empfahl
empfangen
empfehlen
empfiehlt
empfinden
empfindet
empfohlen
empfunden
empört
en
enden
endet
endete
endgültig
endgültige
endgültigen
endlich
eng
engagieren
engagiert
engagierte
engagierten
enge
engen
enger
enorm
enorme
enormen
entdecken
entdeckt
entdeckte
entdeckten
entfallen
entfalten
entfernen
entfernt
entfernten
entfielen
entfällt
entführt
entgegen
entgehen
enthalten
enthaltenen
enthält
entkommen
entlang
entlassen
entlasten
entlastet
entnehmen
entnommen
entscheiden
entscheidend
entscheidende
entscheidenden
entscheidet
entschied
entschieden
entschlossen
entspannt
entsprach
entspreche
entsprechen
entsprechend
entsprechende
entsprechenden
entsprechender
entsprechendes
entspricht
entstand
entstanden
entstandene
entstandenen
entstehen
entsteht
enttäuscht
entweder
entwickeln
entwickelt
entwickelte
entwickelten
entworfen
entziehen
entzogen
er
erarbeiten
erarbeitet
erbracht
ereignete
erfahren
erfassen
erfaßt
erfolgen
erfolglos
erfolgreich
erfolgreiche
erfolgreichen
erfolgreicher
erfolgreichsten
erfolgt
erfolgte
erforderlich
erforderliche
erforderlichen
erfordert
erfreulich
erfreut
erfuhr
erfunden
erfährt
erfüllen
erfüllt
ergab
ergaben
ergeben
ergibt
ergreifen
ergriffen
ergänzen
ergänzt
ergänzte
erhalten
erheben
erheblich
erhebliche
erheblichen
erheblicher
erhebt
erhielt
erhielten
erhob
erhoben
erhoffen
erhofft
erholt
erhält
erhältlich
erhöhen
erhöht
erhöhte
erhöhten
erinnern
erinnert
erinnerte
erkannt
erkannte
erkennbar
erkennen
erkennt
erklären
erklärt
erklärte
erklärten
erlassen
erlauben
erlaubt
erleben
erlebt
erlebte
erledigen
erledigt
erleichtern
erleichtert
erlitt
erlitten
erläutert
erläuterte
ermitteln
ermittelt
ermordet
ermöglichen
ermöglicht
ernannt
erneuert
erneut
erneute
erneuten
ernst
ernsthaft
ernsthafte
erobern
erobert
erprobt
errechnet
erregt
erreichbar
erreichen
erreicht
erreichte
erreichten
errichten
errichtet
erscheinen
erscheint
erschien
erschienen
erschienenen
erschließen
erschossen
erschwert
erschöpft
erschüttert
ersetzen
ersetzt
erspart
erst
erstattet
erstaunlich
erstaunt
erste
erstellen
erstellt
ersten
erstenmal
erstens
erster
erstes
erstmal
erstmals
erstreckt
erteilen
erteilt
erteilte
ertragen
erwarb
erwarte
erwarten
erwartenden
erwartet
erwartete
erwarteten
erweisen
erweist
erweitern
erweitert
erweiterte
erweiterten
erwerben
erwies
erwiesen
erwirtschaftet
erworben
erwähnt
erzeugen
erzeugt
erzielen
erzielt
erzielte
erzielten
erzwingen
erzählen
erzählt
erzählte
eröffnen
eröffnet
eröffnete
erörtert
es
essen
et
etablieren
etabliert
etablierten
etc.
etliche
etwa
etwas
euch
europaweit
eventuell
ewig
ewige
ewigen
exakt
existieren
existiert
externe
externen
extra
extrem
extremen
f
fahren
fallen
falls
falsch
falsche
falschen
fand
fanden
fangen
fassen
fast
fasziniert
faßt
fehle
fehlen
fehlende
fehlenden
fehlt
fehlte
fehlten
feiern
feiert
feierte
feierten
fein
feine
feinen
fern
fernen
ferner
fertig
fertiggestellt
fest
feste
festen
fester
festgehalten
festgelegt
festgelegten
festgenommen
festgeschrieben
festgestellt
festhalten
festlegen
feststellen
festzulegen
festzustellen
fiel
fielen
finanziell
finanzielle
finanziellen
finanzieller
finanzieren
finanziert
finde
finden
findet
fing
fit
flexibel
fliegen
fliegt
fliehen
fließen
fließt
flog
flüchtete
folgen
folgende
folgenden
folglich
folgt
folgte
folgten
for
fordern
fordert
forderte
forderten
formal
formulieren
formuliert
formulierte
fort
fortan
fortgeschrieben
fortgesetzt
fortsetzen
frage
fragen
fraglich
fragt
fragte
frei
freie
freien
freier
freigegeben
freigelassen
freilich
freitags
freiwillig
freiwillige
freiwilligen
fremd
fremde
fremden
freuen
freundlich
freundliche
freundlichen
freut
freute
friedlich
friedliche
friedlichen
froh
fröhlich
früh
frühe
frühen
früher
frühere
früheren
früherer
frühestens
frühzeitig
fuhr
fuhren
funktionieren
funktioniert
fähig
fährt
fällig
fällt
fängt
fördern
fördert
fügt
fügte
fühle
fühlen
fühlt
fühlte
fühlten
führe
führen
führende
führenden
führender
führt
führte
führten
füllen
füllt
fünf
fünfte
fünften
fünfzehn
fünfzig
fünfziger Jahre
fünfziger Jahren
für
fürchten
fürchtet
fürs
gab
gab's
gaben
galt
galten
ganz
ganze
ganzen
ganzer
ganzes
gar
garantieren
garantiert
gearbeitet
gebaut
gebe
geben
gebeten
gebildet
gebilligt
geblieben
geboren
geborene
geborgen
geboten
gebracht
gebraucht
gebrochen
gebucht
gebunden
gebürtige
gedacht
gedeckt
gedreht
gedroht
gedruckt
gedrängt
gedrückt
geehrt
geeignet
geeignete
geeigneten
geeinigt
gefahren
gefallen
gefangen
gefaßt
gefeiert
gefertigt
geflogen
geflohen
gefolgt
gefordert
geforderte
geforderten
gefragt
gefunden
gefährden
gefährdet
gefährlich
gefährliche
gefährlichen
gefährlicher
gefällt
gefördert
geführt
geführte
geführten
gefüllt
gegangen
gegeben
gegebenenfalls
gegen
gegeneinander
gegenseitig
gegenwärtig
gegenwärtige
gegenwärtigen
gegenüber
geglaubt
gegriffen
gegründet
gegründete
gegründeten
gehabt
gehalten
gehandelt
gehe
geheimen
gehen
geholfen
geholt
geht
geht's
gehöre
gehören
gehörende
gehörenden
gehört
gehörte
gehörten
geistig
geistige
geistigen
gekauft
gekennzeichnet
geklärt
gekommen
gekostet
gekämpft
gekündigt
gekürzt
geladen
gelandet
gelang
gelangen
gelangt
gelassen
gelaufen
gelbe
gelben
gelebt
gelegen
gelegene
gelegenen
gelegentlich
gelegt
geleistet
geleitet
gelernt
gelernte
gelesen
geliefert
gelingen
gelingt
gelitten
gelte
gelten
geltend
geltende
geltenden
gelungen
gelöscht
gelöst
gemacht
gemalt
gemein
gemeinsam
gemeinsame
gemeinsamen
gemeinsames
gemeint
gemeldet
gemerkt
gemessen
gemäß
gen
genannt
genannte
genannten
genau
genaue
genauen
genauer
genauso
genehmigt
generell
genießen
genießt
genommen
genug
genutzt
genügen
genügend
genügt
gepflegt
geplant
geplante
geplanten
geprägt
geprägten
geprüft
gerade
geradezu
geraten
geraumer
gerechnet
gerecht
gerechtfertigt
geredet
geregelt
gereicht
gerettet
gerichtet
geriet
gerieten
gering
geringe
geringen
geringer
geringere
geringeren
geringfügig
gerissen
gern
gerne
gerufen
gerät
geräumt
gerückt
gesagt
gesammelt
gesamte
gesamten
geschaffen
geschafft
geschah
geschehen
gescheitert
gescheiterten
geschenkt
geschickt
geschieht
geschlagen
geschlossen
geschlossene
geschlossenen
geschossen
geschrieben
geschrumpft
geschätzt
geschätzten
geschützt
gesehen
gesellschaftliche
gesellschaftlichen
gesenkt
gesetzlich
gesetzliche
gesetzlichen
gesetzt
gesichert
gesorgt
gespannt
gespart
gespeichert
gesperrt
gespielt
gesprochen
gestalten
gestaltet
gestand
gestanden
gestartet
gestattet
gesteckt
gesteht
gesteigert
gestellt
gestern
gesteuert
gestiegen
gestiegenen
gestimmt
gestohlen
gestoppt
gestorben
gestoßen
gestrichen
gestrigen
gestritten
gestärkt
gestört
gestürzt
gestützt
gesucht
gesund
gesunde
gesunden
gesungen
gesunken
getan
geteilt
getestet
getragen
getrennt
getreten
getrieben
getroffen
getötet
gewachsen
gewagt
gewaltig
gewaltige
gewaltigen
gewandt
gewann
gewannen
gewarnt
gewartet
gewechselt
gewertet
gewesen
gewidmet
gewinnen
gewinnt
gewisse
gewissen
gewisser
gewissermaßen
gewiß
gewohnt
gewollt
gewonnen
geworden
gewordene
gewordenen
geworfen
gewußt
gewählt
gewählte
gewählten
gewähren
gewährleisten
gewährleistet
gewährt
gewöhnlich
gewöhnlichen
gewöhnt
gewünscht
gewünschte
gewünschten
gewürdigt
gezahlt
gezeichnet
gezeigt
gezielt
gezielte
gezogen
gezwungen
gezählt
geändert
geäußert
geöffnet
geübt
ggf
gibt
gibt's
gilt
ging
ginge
gingen
glatt
glaube
glauben
glaubt
glaubte
glaubten
gleich
gleiche
gleichen
gleicher
gleichermaßen
gleichfalls
gleichnamigen
gleichsam
gleicht
gleichwohl
gleichzeitig
globale
globalen
glücklich
goldene
goldenen
graue
grauen
greifen
greift
griff
griffen
groß
große
großem
großen
großer
großes
großzügig
grundlegende
grundsätzlich
grundsätzliche
größer
größere
größeren
größerer
größeres
größte
größten
größtenteils
größter
grün
gründen
gründete
gründlich
grüne
grünen
grünes Licht
gut
gute
gutem
guten
guter
gutes
gäbe
gängigen
gänzlich
gültig
gültige
gültigen
günstig
günstige
günstigen
günstiger
hab
habe
haben
halb
halbe
halben
halbes
halbwegs
half
halt
halte
halten
handele
handeln
handelt
handelte
handle
hart
harte
harten
harter
hast
hat
hatte
hatten
hauptsächlich
heben
hebt
heftig
heftige
heftigen
heftiger
heiligen
heimlich
heiraten
heiß
heiße
heißen
heißt
helfen
hellen
her
heran
herangezogen
heraus
herausgefunden
herausgegeben
hergestellt
herkömmlichen
herrschen
herrschenden
herrscht
herrschte
herstellen
herum
herunter
hervor
hervorragend
hervorragende
herzlich
herzustellen
heuer
heute
heutige
heutigen
heutzutage
hielt
hielten
hier
hierbei
hierfür
hierher
hierzu
hierzulande
hiesigen
hieß
hilflos
hilfreich
hilft
hin
hinauf
hinaus
hindurch
hinein
hingegen
hingewiesen
hinnehmen
hinreichend
hinsichtlich
hinten
hinter
hintereinander
hinterher
hinterlassen
hinterlegen
hinterlegt
hinunter
hinweg
hinzu
hob
hoch
hoffe
hoffen
hoffentlich
hofft
hohe
hohem
hohen
hoher
hohes
holen
holt
holte
http
humanitäre
hundert
hält
hängen
hängt
härter
hätte
hätten
häufig
häufiger
häufigsten
höchst
höchste
höchsten
höchstens
höchster
höher
höhere
höheren
höherer
hören
hört
hörte
i
ich
ideale
identifizieren
identifiziert
ignoriert
ihm
ihn
ihnen
ihr
ihre
ihrem
ihren
ihrer
ihrerseits
ihres
illegal
illegale
illegalen
im
im Gegensatz zu
im Grunde
im übrigen
immer
immer wieder
immerhin
in
in Kraft
in Sachen
in Wirklichkeit
in Zukunft
in der Regel
in der Tat
in erster Linie
in letzter Zeit
indem
indes
indessen
indirekt
individuell
individuelle
individuellen
industrielle
industriellen
infolge
informieren
informiert
inhaltlich
inklusive
inmitten
innen
innere
inneren
innerhalb
innovative
ins
insbesondere
insgesamt
insofern
installiert
inszeniert
integrieren
integriert
intensiv
intensive
intensiver
interessant
interessante
interessieren
interessiert
interessierte
interessierten
intern
international
internationale
internationalen
internationaler
internationales
interne
internen
interpretiert
investieren
investiert
inwieweit
irgend
irgendwann
irgendwelche
irgendwie
irgendwo
is
isoliert
ist
ja
jahrelang
jahrzehntelang
je
jede
jedem
jeden
jedenfalls
jeder
jedermann
jederzeit
jedes
jedesmal
jedoch
jegliche
jeglicher
jeher
jemals
jemand
jemanden
jene
jenem
jenen
jener
jenes
jenseits
jetzige
jetzigen
jetzt
jeweilige
jeweiligen
jeweils
jugendlichen
jung
junge
junge Mann
jungen
junger
just
jährlich
jährliche
jährlichen
jünger
jüngere
jüngeren
jüngst
jüngste
jüngsten
jüngster
kalt
kalte
kalten
kam
kamen
kandidieren
kann
kannst
kannte
kaputt
kassieren
kassiert
kau
kaufe
kaufen
kauft
kaufte
kaum
kehren
kehrt
kehrte
kein
keine
keine Rede
keinem
keinen
keiner
keinerlei
keines
keinesfalls
keineswegs
kenne
kennen
kennengelernt
kennt
kg
kirchlichen
klagen
klagt
klagte
klang
klappt
klar
klare
klaren
klarer
klares
klein
kleine
kleinen
kleiner
kleinere
kleineren
kleines
kleinste
kleinsten
kletterte
klingen
klingt
klug
klären
km
knapp
knappe
knappen
knapper
kombiniert
komme
kommen
kommende
kommenden
kommentiert
kommentierte
kommerziellen
kommt
kommunale
kommunalen
komplett
komplette
kompletten
komplexen
kompliziert
komplizierte
komplizierten
konfrontiert
konkret
konkrete
konkreten
konnte
konnten
konsequent
konservative
konservativen
konstant
kontinuierlich
kontrollieren
kontrolliert
kontrollierten
konzentrieren
konzentriert
konzipiert
kopieren
kopiert
korrekt
korrigieren
korrigiert
kosten
kostenlos
kostenlose
kostet
kostete
krank
kriegen
kriegt
kritisieren
kritisiert
kritisierte
kritisierten
kräftig
kräftige
kräftigen
kulturelle
kulturellen
kurz
kurze
kurzem
kurzen
kurzer
kurzerhand
kurzfristig
käme
kämen
kämpfen
kämpft
kämpfte
könne
können
könnte
könnten
körperlich
körperliche
körperlichen
kühl
kümmern
kümmert
kündigen
kündigt
kündigte
kündigten
künftig
künftige
künftigen
künstlich
künstliche
künstlichen
kürzen
kürzer
kürzlich
la
lachen
lacht
laden
lag
lagen
landen
landesweit
landet
landete
landwirtschaftlichen
lang
lange
langem
langen
langer
langfristig
langfristige
langfristigen
langjährige
langjährigen
langsam
langsamer
langweilig
las
lasse
lassen
laufe
laufen
laufende
laufenden
laut
lauten
lauter
lautet
lautete
lebe
leben
lebende
lebenden
lebendig
lebt
lebte
lebten
lediglich
leer
leere
leeren
legen
legendären
legt
legte
legten
lehnen
lehnt
lehnte
lehnten
lehrt
leicht
leichte
leichten
leichter
leid
leiden
leider
leidet
leise
leisten
leistet
leiten
leitet
leitete
lenken
lernen
lernt
lernte
lesen
letzte
letzten
letztendlich
letzter
letztes
letztlich
leuchtet
liberale
liberalen
liebe
lieben
lieber
liebevoll
liebsten
liebt
lief
liefen
liefern
liefert
lieferte
lieferten
liege
liegen
liegende
liegenden
liegt
liest
ließ
ließe
ließen
linke
linken
links
litt
live
lobt
lobte
locken
locker
lockt
lohnt
lokale
lokalen
los
lsw
lud
lustig
lächelt
lächerlich
lädt
lägen
ländlichen
länger
längere
längerem
längeren
längerer
längst
lässt
läuft
läßt
löschen
lösen
löst
löste
m
mache
machen
macht
machte
machten
mag
mahnte
mal
man
manch
manche
manchem
manchen
mancher
manches
manchmal
mangelnde
mangels
mangelt
manuell
markieren
markiert
massiv
massive
massiven
maximal
maßgeblich
mehr
mehrere
mehreren
mehrerer
mehrfach
mehrheitlich
mehrmals
mein
meine
meinem
meinen
meiner
meines
meint
meinte
meinten
meist
meiste
meisten
meistens
melden
meldet
meldete
meldeten
menschliche
menschlichen
menschlicher
merken
merkt
messen
mich
minder
mindestens
minus
mir
mit
mit Blick auf
miteinander
mitgebracht
mitgeteilt
mithalten
mithin
mitmachen
mittag
mitteilen
mitteilt
mitteilte
mittelalterlichen
mittelfristig
mittels
mitten
mittlere
mittleren
mittlerweile
mitunter
mißbraucht
mochte
moderne
modernen
moderner
momentan
monatlich
montags
morgen
morgens
morgigen
muss
musste
mussten
mutmaßliche
mutmaßlichen
muß
mußte
mußten
mächtig
mächtige
mächtigen
männliche
männlichen
möchte
möchten
möge
mögen
möglich
mögliche
möglichen
möglicher
möglicherweise
möglichst
müde
mühsam
müsse
müssen
müssten
müßte
müßten
n
nach
nach wie vor
nachdem
nachdenken
nachdrücklich
nachfolgenden
nachgedacht
nachgewiesen
nachhaltig
nachmittag
nachträglich
nachts
nachweisen
nachzudenken
nah
nahe
nahen
nahezu
nahm
nahmen
namens
namentlich
nannte
nannten
nationale
nationalen
nationaler
natürlich
natürliche
natürlichen
ne
neben
nebenan
nebenbei
nebeneinander
nebst
negativ
negative
negativen
nehme
nehmen
nein
nennen
nennt
nervös
net
nett
neu
neue
neuem
neuen
neuen Bundesländern
neuer
neuerdings
neues
neueste
neuesten
neun
neunziger Jahre
nicht
nicht einmal
nicht nur
nichts
nichts zu tun
nie
nieder
niedrig
niedrige
niedrigen
niedriger
niedrigere
niedrigeren
niemals
niemand
niemandem
niemanden
nimmt
nirgendwo
nix
noch
nochmal
nochmals
nominiert
normal
normale
normalen
normaler
normalerweise
notfalls
notiert
notierte
notwendig
notwendige
notwendigen
null
nun
nunmehr
nur
nutzen
nutzt
nutzte
nutzten
nächste
nächsten
nächster
nächstes
nächtlichen
näher
nähert
nämlich
nördlich
nördlichen
nötig
nötige
nötigen
nützlich
nützt
o
ob
oben
obendrein
oberen
oberhalb
oberste
obersten
obwohl
oder
of
offen
offenbar
offenbart
offene
offenen
offener
offenkundig
offensichtlich
offiziell
offizielle
offiziellen
oft
oftmals
ohne
ohnehin
on
online
operative
operativen
operiert
optimal
optimale
ordentlich
ordnen
organisieren
organisiert
organisierte
organisierten
orientieren
orientiert
orientierte
orientierten
ostdeutsche
ostdeutschen
ots
paar
packen
parallel
parat
passen
passende
passieren
passiert
paßt
peinlich
per
perfekt
persönlich
persönliche
persönlichen
persönlicher
pflegen
pflegt
planen
plant
plaziert
plus
plädiert
plädierte
plötzlich
populär
positiv
positive
positiven
positives
potentielle
potentiellen
praktiziert
prinzipiell
privat
private
